fibro_typename,seed,orientation_10,major_axis_10,minor_axis_10,orientation_20,major_axis_20,minor_axis_20,orientation_30,major_axis_30,minor_axis_30,orientation_40,major_axis_40,minor_axis_40,orientation_50,major_axis_50,minor_axis_50,orientation_60,major_axis_60,minor_axis_60,orientation_70,major_axis_70,minor_axis_70,orientation_80,major_axis_80,minor_axis_80,orientation_90,major_axis_90,minor_axis_90
patchy,82,-31.521929,17.341055,5.943194,-32.272262,24.342883,9.427832,-32.406911,33.514312,11.949604,-31.549670,43.329356,14.807622,-32.119772,55.805852,18.182586,-32.640029,75.460384,21.730181,-32.300121,99.487909,29.281825,-32.289669,140.241238,46.701452,-32.659023,244.460228,87.296657
patchy,83,-29.109542,15.134030,6.266709,-27.739307,22.950806,9.337273,-26.462952,30.225601,12.393486,-27.731088,39.483879,15.501599,-28.973303,53.420709,18.684216,-30.628717,74.470616,22.157470,-30.612989,97.500919,30.487370,-32.422535,137.172496,47.944192,-32.667026,239.812621,89.045059
patchy,84,-26.899285,14.867534,6.378995,-27.193006,21.918519,9.785407,-26.822925,29.042027,12.855926,-27.896371,38.098285,15.876347,-28.778650,50.467601,19.090787,-30.276932,67.873632,23.272351,-29.908478,89.225712,31.635009,-30.501630,133.904047,47.007803,-31.365197,232.635276,89.291958
patchy,85,-28.824405,16.242985,6.100813,-32.082673,22.584790,9.566057,-32.150844,28.660450,12.911716,-32.204933,36.646920,16.106043,-32.525160,49.052868,19.088652,-32.355106,65.830865,23.123377,-31.901644,88.952538,31.189784,-32.553354,132.957665,46.876729,-33.644115,229.715939,88.002070
patchy,86,-31.656908,14.933202,6.518650,-32.943718,22.322254,9.725473,-33.841228,29.469277,12.708455,-34.037492,37.801705,15.790713,-33.766846,49.281839,19.200960,-33.243747,65.514251,23.847476,-32.255047,93.922623,31.152739,-33.120917,135.577705,47.909252,-33.352052,239.100065,88.932246
patchy,87,-35.479865,13.601248,6.461601,-35.016229,20.447513,9.878511,-33.931523,29.280205,12.111716,-34.101655,38.876042,14.648342,-34.596260,50.918331,17.473537,-34.637922,66.613070,21.895097,-34.788522,91.860685,29.023255,-33.576584,134.434939,44.240437,-34.998537,231.831131,85.016671
patchy,88,-31.609325,14.444159,6.106754,-30.504306,20.520890,9.693949,-31.386676,27.542608,12.794265,-32.043476,37.650250,15.336833,-32.146396,51.452236,17.832278,-32.748141,68.802867,21.582208,-32.848583,94.423808,27.792213,-32.684772,133.475225,43.174037,-34.733935,230.257479,84.957166
patchy,89,-34.179204,18.280788,5.434854,-33.231769,23.602579,9.136583,-34.034012,29.452784,12.402045,-34.376575,37.236963,15.654109,-35.969613,49.493618,18.422330,-35.249128,66.553622,21.829871,-35.395361,89.272833,28.012317,-35.755317,128.096494,42.701438,-36.319389,232.970588,81.400674
patchy,90,-40.461406,11.886609,7.425625,-39.312335,20.347203,9.941006,-37.645286,27.890197,12.699796,-37.512139,37.144482,15.206125,-37.381871,48.150922,18.378091,-36.955190,63.422059,22.750280,-36.479421,88.626438,29.107187,-35.380445,128.967144,44.343692,-36.834397,223.589590,85.814178
patchy,91,-37.832282,10.294762,7.456527,-34.461253,17.238642,10.505966,-32.937443,25.965453,12.556451,-33.873340,35.612018,14.821836,-34.429148,46.574461,17.632808,-35.089618,58.906108,22.277584,-35.608701,80.886312,28.375135,-35.022701,120.784801,41.614153,-34.948370,216.590985,81.093527
patchy,92,-25.816257,11.347543,6.302232,-26.555461,16.702776,9.671573,-27.519670,23.022104,12.566484,-26.567631,31.447361,15.323935,-28.155200,45.424951,17.425896,-28.615637,60.946889,21.624156,-29.851202,85.421841,28.390312,-30.874833,126.746507,42.758230,-32.599925,222.638381,81.954326
patchy,93,-26.107131,15.844430,5.411307,-26.601814,21.992918,8.509380,-25.245578,27.133677,11.786101,-25.010386,35.073473,14.735116,-25.211702,47.923771,17.410939,-26.555289,64.545671,21.788019,-27.840966,92.397653,28.702556,-28.983328,132.400715,44.917949,-30.197361,227.354478,85.160070
